hotstar_id,title,description,genre,release_year,age_rating,running_time,seasons,episodes,type,country,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
1260126754.0,Butterfly,"While trying to rescue her sister's kids from kidnappers, Geetha excavates shocking secrets about her dubious neighbours. What are they hiding?",Thriller,2022.0,U/A 16+,136.0,,,movie,UK,tt0014752,movie,Butterfly,Butterfly,0.0,1924.0,,80,"Drama,Romance",7.0,32
1260018228.0,Sister Act,"Rene, a lounge singer, decides to stay at a Christian convent where she changes the dynamics of the convent when she begins to sing in the choir.",Comedy,1992.0,U/A 7+,100.0,,,movie,Germany,tt0105417,movie,Sister Act,Sister Act,0.0,1992.0,,100,"Comedy,Family,Music",6.5,108569
1000218684.0,Traffic,A traffic constable accepts the challenge of traversing 150 km by road to transport a donor's heart for an immediate transplant. Inspired by a true event.,Drama,2016.0,U,100.0,,,movie,USA,tt0181865,movie,Traffic,Traffic,0.0,2000.0,,147,"Crime,Drama,Thriller",7.6,219977
1000110774.0,Kinnaripuzhayoram,"Kunjikrishnan and Unnikrishnan are the sons of a village ayurvedic physician. While Unnikrishnan becomes a doctor, his brother poses as a godman and fools all.",Romance,1994.0,U/A 13+,123.0,,,movie,Germany,tt0353627,movie,Kinnaripuzhayoram,Kinnaripuzhayoram,0.0,1994.0,,123,Comedy,6.6,87
1000066604.0,Meher,The story of a devout Muslim mother who is caught between her principles in life and her daughter's impending marriage.,Drama,2015.0,U,89.0,,,movie,Brazil,tt0398515,tvSeries,Meher,Meher,0.0,2004.0,,,Drama,7.4,33
1000187193.0,Remo,An aspiring actor falls in love with an engaged doctor. He disguises himself as a female nurse to get close to her so that she calls off her engagement.,Comedy,2016.0,U/A 13+,126.0,,,movie,Canada,tt31180680,short,Remo,Remo,0.0,2024.0,,14,"Drama,Short",7.3,9
1660000073.0,Secretariat,"Despite her limited knowledge, Penny takes charge of her father's stable and against all the odds, she creates history by winning the first-ever triple crown.",Historical,2010.0,U/A 7+,117.0,,,movie,UK,tt0568358,tvEpisode,Secretariat,Secretariat,0.0,1999.0,,30,"Biography,Documentary,History",8.9,17
1000228200.0,Maari 2,"Maari, a local don, in his new naughty-turned-nice avtar, manages to get into the bad books of Beeja, a Murakami fan, who will stop at nothing to destroy him.",Action,2018.0,U/A 13+,140.0,,,movie,Portugal,tt7510798,movie,Maari 2,Maari 2,0.0,2018.0,,143,"Action,Comedy",5.6,3480
1260109393.0,FIR,"Irfan’s world comes crashing down when he gets incriminated as a terrorist by media trials. Amid the spotlight, he embarks on a mission to prove his innocence.",Action,2022.0,U/A 16+,148.0,,,movie,UK,tt11468258,movie,FIR,FIR,0.0,2022.0,,156,"Action,Thriller",6.9,4700
1770020237.0,"Love, Simon",17-year-old Simon Spier has a complicated love story as he doesn't know the identity of the anonymous classmate he's fallen for online.,Comedy,2018.0,U/A 13+,105.0,,,movie,Argentina,tt5164432,movie,"Love, Simon","Love, Simon",0.0,2018.0,,110,"Comedy,Drama",7.5,126091
1000085966.0,Dr. Cabbie,"After delivering a baby in a cab, Dr. Deepak Chopra he realises there is a way to use the skills that the Canadian government doesn't seem to want.",Comedy,2014.0,U/A 16+,1.0,,,movie,Brazil,tt2831404,movie,Dr. Cabbie,Dr. Cabbie,0.0,2014.0,,101,Comedy,6.0,3840
1836053500.0,Click,Pictures of a vacation ask you to peep in to see the unusual experience of the couple.,Thriller,2020.0,U/A 13+,8.0,,,movie,Singapore,tt0142030,tvSeries,Click,Click,0.0,1997.0,,30,"Family,Game-Show",5.8,19
1260039728.0,Back to the Titanic,"This special feature documents the first manned dives to Titanic in nearly 15 years, as experts capture unique footage of the ship to analyse its rate of decay.",Documentary,2020.0,U/A 7+,44.0,,,movie,Portugal,tt12100782,tvMovie,Back to the Titanic,Back to the Titanic,0.0,2020.0,,60,Documentary,6.2,471
1260016768.0,Captain America: Civil War,The government's decision to push a Hero Registration Act to regulate heroes creates a rift among the Avengers and other heroes.,Superhero,2016.0,U/A 13+,147.0,,,movie,Spain,tt3498820,movie,Captain America: Civil War,Captain America: Civil War,0.0,2016.0,,147,"Action,Sci-Fi",7.8,851566
1000163464.0,Yavanika,A tabla player goes missing from a drama troupe. Investigations reveal complicated sexual rivalries and internal conflicts within the group.,Thriller,1982.0,U/A 16+,140.0,,,movie,Japan,tt0215376,movie,Yavanika,Yavanika,0.0,1982.0,,147,"Drama,Mystery",7.9,872
1770015155.0,Pulimurugan,Murugan protects the villagers from deadly tiger attacks. But a drug dealer takes advantage of his innocence and frames him in a crime he never committed.,Action,2016.0,U/A 13+,153.0,,,movie,Italy,tt5297256,movie,Pulimurugan,Pulimurugan,0.0,2016.0,,161,"Action,Thriller",6.6,8450
1000109853.0,Leela,Kuttiyappan is notorious for his relationships with women. His life takes a turn when he sets out to fulfil one of his strange fantasies.,Romance,2016.0,U/A 16+,95.0,,,movie,Italy,tt0300115,movie,Leela,Leela,0.0,2002.0,,97,"Drama,Romance",6.5,161
1770003005.0,Dev,"Dev, a cop, has a very strict view on terrorism, when Farhan, an unruly Muslim youth, changes his perception. This earns the resentment of Dev's former partner.",Drama,2004.0,A,164.0,,,movie,USA,tt0364303,movie,Dev,Dev,0.0,2004.0,,172,Drama,6.7,1491
1770016248.0,Thammar Boyfriend,"Neglected by her family, a 70-year-old rich widow decides to marry a guy who is much younger than her. But will the family accept this alliance?",Comedy,2016.0,U,117.0,,,movie,Spain,tt6616228,movie,Thammar Boyfriend,Thammar Boyfriend,0.0,2016.0,,123,Comedy,6.0,127
